Date,Load
2019-12-28 06:00:00,1612.4
2019-12-28 06:00:00,518.1
2019-12-28 06:00:00,935.4
2019-12-28 06:00:00,942.4
2019-12-28 06:00:00,1826.1
2019-12-28 06:00:00,764.7
2019-12-28 06:00:00,272.6
2019-12-28 06:00:00,4511.0
2019-12-28 06:00:00,560.9
2019-12-28 06:00:00,1472.2
2019-12-28 07:00:00,1222.3
2019-12-28 07:00:00,1685.6
2019-12-28 07:00:00,540.2
2019-12-28 07:00:00,982.0
2019-12-28 07:00:00,983.6
2019-12-28 07:00:00,1895.1
2019-12-28 07:00:00,818.2
2019-12-28 07:00:00,290.7
2019-12-28 07:00:00,4684.6
2019-12-28 07:00:00,609.5
2019-12-28 07:00:00,1526.4
2019-12-28 08:00:00,1281.3
2019-12-28 08:00:00,1774.0
2019-12-28 08:00:00,564.8
2019-12-28 08:00:00,1020.4
2019-12-28 08:00:00,1002.2
2019-12-28 08:00:00,1945.4
2019-12-28 08:00:00,874.0
2019-12-28 08:00:00,318.5
2019-12-28 08:00:00,4867.0
2019-12-28 08:00:00,620.5
2019-12-28 08:00:00,1573.4
2019-12-28 09:00:00,1326.0
2019-12-28 09:00:00,1841.1
2019-12-28 09:00:00,582.3
2019-12-28 09:00:00,1062.6
2019-12-28 09:00:00,1006.5
2019-12-28 09:00:00,1953.1
2019-12-28 09:00:00,906.4
2019-12-28 09:00:00,327.1
2019-12-28 09:00:00,5044.0
2019-12-28 09:00:00,628.7
2019-12-28 09:00:00,1629.7
2019-12-28 10:00:00,1345.6
2019-12-28 10:00:00,1870.1
2019-12-28 10:00:00,594.6
2019-12-28 10:00:00,1088.3
2019-12-28 10:00:00,1004.8
2019-12-28 10:00:00,1965.5
2019-12-28 10:00:00,933.2
2019-12-28 10:00:00,329.7
2019-12-28 10:00:00,5172.4
2019-12-28 10:00:00,593.2
2019-12-28 10:00:00,1660.4
2019-12-28 11:00:00,1322.2
2019-12-28 11:00:00,1855.5
2019-12-28 11:00:00,592.9
2019-12-28 11:00:00,1081.2
2019-12-28 11:00:00,983.2
2019-12-28 11:00:00,1962.8
2019-12-28 11:00:00,925.7
2019-12-28 11:00:00,328.7
2019-12-28 11:00:00,5239.5
2019-12-28 11:00:00,617.0
2019-12-28 11:00:00,1656.3
2019-12-28 12:00:00,1288.8
2019-12-28 12:00:00,1802.4
2019-12-28 12:00:00,588.4
2019-12-28 12:00:00,1048.3
2019-12-28 12:00:00,966.1
2019-12-28 12:00:00,1963.5
2019-12-28 12:00:00,898.9
2019-12-28 12:00:00,322.0
2019-12-28 12:00:00,5262.2
2019-12-28 12:00:00,610.0
2019-12-28 12:00:00,1642.0
2019-12-28 13:00:00,1269.4
2019-12-28 13:00:00,1749.2
2019-12-28 13:00:00,585.0
2019-12-28 13:00:00,1014.5
2019-12-28 13:00:00,958.0
2019-12-28 13:00:00,1951.9
2019-12-28 13:00:00,881.1
2019-12-28 13:00:00,314.3
2019-12-28 13:00:00,5227.3
2019-12-28 13:00:00,607.3
2019-12-28 13:00:00,1624.7
2019-12-28 14:00:00,1275.9
2019-12-28 14:00:00,1748.6
2019-12-28 14:00:00,585.7
2019-12-28 14:00:00,1014.2
2019-12-28 14:00:00,977.3
2019-12-28 14:00:00,1983.5
2019-12-28 14:00:00,874.4
2019-12-28 14:00:00,312.2
2019-12-28 14:00:00,5214.5
2019-12-28 14:00:00,610.3
2019-12-28 14:00:00,1623.1
2019-12-28 15:00:00,1318.8
2019-12-28 15:00:00,1794.4
2019-12-28 15:00:00,594.6
2019-12-28 15:00:00,1041.2
2019-12-28 15:00:00,1033.3
2019-12-28 15:00:00,2087.2
2019-12-28 15:00:00,885.3
2019-12-28 15:00:00,324.8
